name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
Symphony (feat. Zara Larsson)	Clean Bandit	212459	75	False	2017-03-16	2017	2022-08-20	https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8	S	Symphony (feat. Zara Larsson)	1x5sYLZiu9r5E43kMlt9f8
bad guy	Billie Eilish	194087	81	False	2019-03-29	2019	2022-08-20	https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m	B	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2Fxmhks0bxGSBdJ92vM42m
You Can't Stop The Beat	Elijah Kelley	324706	49	False	2007-07-10	2007	2022-08-16	https://open.spotify.com/track/3pMsqOoZTtzUiZXmDVtrCD	Y	Hairspray (Original Motion Picture Soundtrack) [Collector's Edition]	3pMsqOoZTtzUiZXmDVtrCD
Easy On Me	Adele	224694	77	False	2021-10-14	2021	2022-08-11	https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX	E	Easy On Me	0gplL1WMoJ6iYaPgMCL0gX
Lost and Found	Katie Herzig	287200	35	False	2011-01-01	2011	2022-07-23	https://open.spotify.com/track/7riLzM5TJ8UnlPPiIYPm6o	L	The Waking Sleep	7riLzM5TJ8UnlPPiIYPm6o
You're No Good - From 'Minions: The Rise of Gru' Soundtrack	Weyes Blood	216981	31	False	2022-07-01	2022	2022-07-17	https://open.spotify.com/track/3vZSLf5UcjWJl4cg7D2g8W	Y	Minions: The Rise Of Gru (Original Motion Picture Soundtrack)	3vZSLf5UcjWJl4cg7D2g8W
Livin' la Vida Loca	Ricky Martin	243160	73	False	1999-01-01	1999	2022-07-12	https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd	L	Ricky Martin	0Ph6L4l8dYUuXFmb71Ajnd
Zombie	The Cranberries	306440	82	False	1994-10-03	1994	2022-07-12	https://open.spotify.com/track/7EZC6E7UjZe63f1jRmkWxt	Z	No Need To Argue (The Complete Sessions 1994-1995)	7EZC6E7UjZe63f1jRmkWxt
Karma Chameleon	Culture Club	241600	58	False	1993-01-01	1993	2022-05-27	https://open.spotify.com/track/48O0GrGJWml3DzHhC5sJ7a	K	At Worst...The Best Of Boy George And Culture Club	48O0GrGJWml3DzHhC5sJ7a
Super Trouper	ABBA	252853	71	False	1980-01-01	1980	2022-05-26	https://open.spotify.com/track/0J2p4KYdr6Mg4ET6JPlbe1	S	Super Trouper	0J2p4KYdr6Mg4ET6JPlbe1
C'est de l'eau	Les Enfantastiques	266026	36	False	2008-03-24	2008	2022-05-18	https://open.spotify.com/track/4opsI1IRo5Wz8JbdvLI2YD	C	Vive l'eau vive !	4opsI1IRo5Wz8JbdvLI2YD
Gangnam Style (강남스타일)	PSY	219493	72	False	2012-01-01	2012	2022-04-19	https://open.spotify.com/track/03UrZgTINDqvnUMbbIMhql	G	Gangnam Style (강남스타일)	03UrZgTINDqvnUMbbIMhql
Tainted Love	Soft Cell	153800	79	False	1981-01-01	1981	2022-04-16	https://open.spotify.com/track/0cGG2EouYCEEC3xfa0tDFV	T	Non-Stop Erotic Cabaret	0cGG2EouYCEEC3xfa0tDFV
Le café	Oldelaf et Monsieur D.	155573	47	False	2005-01-01	2005	2022-03-24	https://open.spotify.com/track/1DdYVh9hQw7VXOkDgxHEQk	L	L'Album de la maturité	1DdYVh9hQw7VXOkDgxHEQk
Les cités d'or	Le Groupe Apollo	132440	44	False	1983-01-01	1983	2022-03-19	https://open.spotify.com/track/1FIhmSwsQOJ3ER0Q21bhgD	L	Les mystérieuses cités d'or (Bande originale de la série télévisée)	1FIhmSwsQOJ3ER0Q21bhgD
Sweet Dreams (Are Made of This) - 2005 Remaster	Eurythmics	216933	83	False	1983-01-04	1983	2022-03-18	https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS	S	Sweet Dreams (Are Made Of This)	1TfqLAPs4K3s2rJMoCokcS
On My Way	Alex Lahey	185173	41	False	2021-04-30	2021	2022-03-16	https://open.spotify.com/track/7e6FePRWR5WXUxjf5SaKGi	O	The Mitchells vs The Machines (Original Motion Picture Soundtrack)	7e6FePRWR5WXUxjf5SaKGi
Wrecking Ball	Miley Cyrus	221360	78	False	2013-10-04	2013	2022-03-05	https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE	W	Bangerz (Deluxe Version)	2vwlzO0Qp8kfEtzTsCXfyE
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)	Shakira	202626	6	False	2010-05-07	2010	2022-02-24	https://open.spotify.com/track/2Cd9iWfcOpGDHLz6tVA3G4	W	Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)	2Cd9iWfcOpGDHLz6tVA3G4
Away We Go	Bad Suns	205373	29	False	2019-03-22	2019	2022-01-29	https://open.spotify.com/track/1JAV0OdaI5wPlYkijtZFPY	A	Mystic Truth	1JAV0OdaI5wPlYkijtZFPY
bury a friend	Billie Eilish	193143	74	False	2019-03-29	2019	2022-01-15	https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF	B	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	4SSnFejRGlZikf02HLewEF
Fever	Dua Lipa	156910	58	False	2020-10-29	2020	2022-01-09	https://open.spotify.com/track/3wJVBz7gvGTwTWVAxFa6ny	F	Fever	3wJVBz7gvGTwTWVAxFa6ny
